City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Oranjemund,NA,-28.55,16.4333,54.48,75,0,8.88,clear sky
332,Cap Malheureux,MU,-19.9842,57.6142,70.47,56,73,8.01,broken clouds
333,Alyangula,AU,-13.8483,136.4192,78.87,63,52,11.54,broken clouds
334,Naze,JP,28.3667,129.4833,81.52,82,100,10.09,overcast clouds
335,Najran,SA,17.4924,44.1277,83.05,26,100,3.83,overcast clouds
336,Verkhoyansk,RU,67.5447,133.385,68.7,36,100,13.22,overcast clouds
337,Muyezerskiy,RU,63.9333,31.65,63.09,78,100,3.42,overcast clouds
338,Maniitsoq,GL,65.4167,-52.9,41.36,81,99,5.95,overcast clouds
339,Biltine,TD,14.5333,20.9167,85.71,42,17,5.82,few clouds
340,Gappal,PH,16.8394,121.8206,83.23,75,16,0.83,few clouds
341,Hualmay,PE,-11.0964,-77.6139,62.53,80,42,9.26,scattered clouds
342,Pangkalanbuun,ID,-2.6833,111.6167,77.67,90,94,1.66,overcast clouds
343,Muros,ES,42.7762,-9.0603,59.09,92,100,8.37,overcast clouds
344,San Vicente,AR,-26.6167,-54.1333,60.3,99,75,3.13,broken clouds
345,Cedar City,US,37.6775,-113.0619,83.39,15,0,6.91,clear sky
346,Mozarlandia,BR,-14.7447,-50.5706,74.14,41,0,3.24,clear sky
347,Airai,TL,-8.9266,125.4092,66.49,73,50,3.38,scattered clouds
348,Aberystwyth,GB,52.4155,-4.0829,53.71,83,86,21.0,overcast clouds
349,Yokadouma,CM,3.5167,15.05,68.85,99,100,1.72,overcast clouds
350,Zaysan,KZ,47.4667,84.8667,76.66,39,0,10.98,clear sky
351,Oleksandrivka,UA,48.9634,32.2349,60.1,97,79,9.31,broken clouds
352,Isangel,VU,-19.55,169.2667,80.71,89,75,2.3,broken clouds
353,Coihaique,CL,-45.5752,-72.0662,25.41,86,0,3.44,clear sky
354,Basco,PH,20.4487,121.9702,85.03,77,100,14.74,moderate rain
355,Krasnoselkup,RU,65.7,82.4667,71.06,61,43,8.68,light rain
356,Mayya,RU,61.7333,130.2811,70.92,38,8,1.83,clear sky
357,Tahta,EG,26.7693,31.5021,85.86,25,0,5.48,clear sky
358,Acari,PE,-15.4311,-74.6158,64.47,71,49,4.29,scattered clouds
359,Savannah Bight,HN,16.45,-85.85,81.45,78,58,17.05,broken clouds
360,Belmonte,BR,-15.8631,-38.8828,72.77,84,4,6.42,clear sky
361,Abu Kamal,SY,34.4506,40.9171,83.71,27,4,9.24,clear sky
362,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,64.99,59,0,11.18,clear sky
363,Atar,MR,20.5169,-13.0499,89.04,21,0,13.47,clear sky
